code,name,market,board,asset_type,org_type,sector,index_membership
600588,用友网络,sh,main,stock,,软件开发,hs300
600595,中孚实业,sh,main,stock,,工业金属,csi500
600598,北大荒,sh,main,stock,,种植业,csi500
600600,青岛啤酒,sh,main,stock,,非白酒,hs300
600601,方正科技,sh,main,stock,,元件,csi500
600602,云赛智联,sh,main,stock,,软件开发,csi500
600606,绿地控股,sh,main,stock,,房地产开发,csi500
600637,东方明珠,sh,main,stock,,电视广播Ⅱ,csi500
600642,申能股份,sh,main,stock,,电力,csi500
600655,豫园股份,sh,main,stock,,一般零售,csi500
600660,福耀玻璃,sh,main,stock,,汽车零部件,hs300
600663,陆家嘴,sh,main,stock,,房地产开发,csi500
600674,川投能源,sh,main,stock,,电力,hs300
600685,中船防务,sh,main,stock,,航海装备Ⅱ,csi500
600688,上海石化,sh,main,stock,,炼化及贸易,csi500
600690,海尔智家,sh,main,stock,,白色家电,hs300
600699,均胜电子,sh,main,stock,,汽车零部件,csi500
600704,物产中大,sh,main,stock,,物流,csi500
600707,彩虹股份,sh,main,stock,,光学光电子,csi500
600711,盛屯矿业,sh,main,stock,,工业金属,csi500
600737,中粮糖业,sh,main,stock,,农产品加工,csi500
600741,华域汽车,sh,main,stock,,汽车零部件,hs300
600754,锦江酒店,sh,main,stock,,酒店餐饮,csi500
600760,中航沈飞,sh,main,stock,,航空装备Ⅱ,hs300
600763,通策医疗,sh,main,stock,,医疗服务,csi500
600764,中国海防,sh,main,stock,,航海装备Ⅱ,csi500
600765,中航重机,sh,main,stock,,航空装备Ⅱ,csi500
600795,国电电力,sh,main,stock,,电力,hs300
600801,华新建材,sh,main,stock,,水泥,csi500
600803,新奥股份,sh,main,stock,,燃气Ⅱ,hs300
600808,马钢股份,sh,main,stock,,普钢,csi500
600809,山西汾酒,sh,main,stock,,白酒Ⅱ,hs300
600816,建元信托,sh,main,stock,,多元金融,csi500
600820,隧道股份,sh,main,stock,,基础建设,csi500
600845,宝信软件,sh,main,stock,,IT服务Ⅱ,hs300
600848,上海临港,sh,main,stock,,房地产开发,csi500
600862,中航高科,sh,main,stock,,航空装备Ⅱ,csi500
600863,华能蒙电,sh,main,stock,,电力,csi500
